dataset,model,mode,seed,scope,axis,selected_count,axis_selected_count,axis_selected_fraction,selected_true_mean,axis_true_mean,feedback_deficit,conflict_score,conflict_rank
BEAR B70,rf_ucb,random_swap,0,seed,NozzleSize=0.75,200,195,0.975,25.553639735925,25.682454782487184,-0.12881504656218468,0.0,8
BEAR B70,rf_ucb,random_swap,0,seed,PrinterNozzle=0,200,195,0.975,25.553639735925,25.682454782487184,-0.12881504656218468,0.0,9
BEAR B70,rf_ucb,random_swap,0,seed,PrinterNumber=1,200,99,0.495,25.553639735925,28.994935978383843,-3.4412962424588436,0.0,10
BEAR B70,rf_ucb,random_swap,1,seed,NozzleSize=0.5,200,14,0.07,21.4521420231,16.89767403535714,4.554467987742857,0.318812759142,1
BEAR B70,rf_ucb,random_swap,1,seed,PrinterNozzle=1,200,14,0.07,21.4521420231,16.89767403535714,4.554467987742857,0.318812759142,2
BEAR B70,rf_ucb,random_swap,1,seed,PrinterNumber=2,200,14,0.07,21.4521420231,16.89767403535714,4.554467987742857,0.318812759142,3
BEAR B70,rf_ucb,random_swap,1,seed,PrinterNumber=3,200,77,0.385,21.4521420231,20.649389949480526,0.8027520736194731,0.30905954834349714,4
BEAR B70,rf_ucb,random_swap,1,seed,DecisionPolicy=7,200,25,0.125,21.4521420231,19.859117357800002,1.5930246652999962,0.19912808316249953,5
BEAR B70,rf_ucb,random_swap,1,seed,PrinterNumber=4,200,35,0.175,21.4521420231,20.852507206714286,0.5996348163857128,0.10493609286749973,6
BEAR B70,rf_ucb,random_swap,1,seed,DecisionPolicy=8,200,175,0.875,21.4521420231,21.679716975285718,-0.22757495218571933,0.0,7
BEAR B70,rf_ucb,random_swap,1,seed,NozzleSize=0.75,200,186,0.93,21.4521420231,21.79495144153226,-0.3428094184322603,0.0,8
BEAR B70,rf_ucb,random_swap,1,seed,PrinterNozzle=0,200,186,0.93,21.4521420231,21.79495144153226,-0.3428094184322603,0.0,9
BEAR B70,rf_ucb,random_swap,1,seed,PrinterNumber=1,200,74,0.37,21.4521420231,23.432705267297298,-1.980563244197299,0.0,10
BEAR B70,rf_ucb,random_swap,2,seed,PrinterNumber=3,200,42,0.21,25.589793763075,23.12143545797619,2.4683583050988105,0.5183552440707502,1
BEAR B70,rf_ucb,random_swap,2,seed,PrinterNumber=4,200,27,0.135,25.589793763075,21.765391134814816,3.8244026282601844,0.516294354815125,2
BEAR B70,rf_ucb,random_swap,2,seed,DecisionPolicy=7,200,15,0.075,25.589793763075,21.804910301333333,3.784883461741668,0.28386625963062506,3
BEAR B70,rf_ucb,random_swap,2,seed,NozzleSize=0.5,200,8,0.04,25.589793763075,19.19408992125,6.395703841825,0.255828153673,4
BEAR B70,rf_ucb,random_swap,2,seed,PrinterNozzle=1,200,8,0.04,25.589793763075,19.19408992125,6.395703841825,0.255828153673,5
BEAR B70,rf_ucb,random_swap,2,seed,PrinterNumber=2,200,8,0.04,25.589793763075,19.19408992125,6.395703841825,0.255828153673,6
BEAR B70,rf_ucb,random_swap,2,seed,DecisionPolicy=8,200,184,0.92,25.589793763075,25.970065757092392,-0.38027199401739153,0.0,7
BEAR B70,rf_ucb,random_swap,2,seed,NozzleSize=0.75,200,192,0.96,25.589793763075,25.856281423151042,-0.2664876600760415,0.0,8
BEAR B70,rf_ucb,random_swap,2,seed,PrinterNozzle=0,200,192,0.96,25.589793763075,25.856281423151042,-0.2664876600760415,0.0,9
BEAR B70,rf_ucb,random_swap,2,seed,PrinterNumber=1,200,123,0.615,25.589793763075,27.688131572113818,-2.098337809038817,0.0,10
BEAR B70,rf_ucb,random_swap,3,seed,PrinterNumber=3,200,91,0.455,20.831657682225,19.869370091263736,0.9622875909612638,0.43784085388737504,1
BEAR B70,rf_ucb,random_swap,3,seed,DecisionPolicy=7,200,27,0.135,20.831657682225,19.113286205,1.7183714772249985,0.23198014942537482,2
BEAR B70,rf_ucb,random_swap,3,seed,NozzleSize=0.5,200,10,0.05,20.831657682225,18.8185008185,2.0131568637250012,0.10065784318625007,3
BEAR B70,rf_ucb,random_swap,3,seed,PrinterNozzle=1,200,10,0.05,20.831657682225,18.8185008185,2.0131568637250012,0.10065784318625007,4
BEAR B70,rf_ucb,random_swap,3,seed,PrinterNumber=2,200,10,0.05,20.831657682225,18.8185008185,2.0131568637250012,0.10065784318625007,5
BEAR B70,rf_ucb,random_swap,3,seed,PrinterNumber=4,200,37,0.185,20.831657682225,20.464405870675673,0.36725181154932685,0.06794158513662546,6
BEAR B70,rf_ucb,random_swap,3,seed,DecisionPolicy=8,200,173,0.865,20.831657682225,21.099842826069366,-0.26818514384436654,0.0,7
BEAR B70,rf_ucb,random_swap,3,seed,NozzleSize=0.75,200,190,0.95,20.831657682225,20.93761330663158,-0.10595562440657957,0.0,8
BEAR B70,rf_ucb,random_swap,3,seed,PrinterNozzle=0,200,190,0.95,20.831657682225,20.93761330663158,-0.10595562440657957,0.0,9
BEAR B70,rf_ucb,random_swap,3,seed,PrinterNumber=1,200,62,0.31,20.831657682225,22.787916657096773,-1.9562589748717727,0.0,10
BEAR B70,rf_ucb,random_swap,4,seed,PrinterNumber=3,200,79,0.395,22.2826160844,21.260025390126586,1.0225906942734149,0.40392332423799887,1
BEAR B70,rf_ucb,random_swap,4,seed,NozzleSize=0.5,200,11,0.055,22.2826160844,18.586683883181816,3.6959322012181843,0.20327627106700014,2
BEAR B70,rf_ucb,random_swap,4,seed,PrinterNozzle=1,200,11,0.055,22.2826160844,18.586683883181816,3.6959322012181843,0.20327627106700014,3
